series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
50轮,c3_ethereum_t50_s0,ethereum,7,0.14285714285714285,0.585,0.0,29.0,0.19463087248322147
50轮,c3_ethereum_t50_s0,ethereum,8,0.16326530612244897,0.585,0.0,34.0,0.22818791946308725
50轮,c3_ethereum_t50_s0,ethereum,9,0.1836734693877551,0.56,0.0,37.0,0.2483221476510067
50轮,c3_ethereum_t50_s0,ethereum,10,0.20408163265306123,0.555,0.0,38.0,0.2550335570469799
50轮,c3_ethereum_t50_s0,ethereum,11,0.22448979591836735,0.555,0.0,39.0,0.26174496644295303
50轮,c3_ethereum_t50_s0,ethereum,12,0.24489795918367346,0.545,0.0,41.0,0.2751677852348993
50轮,c3_ethereum_t50_s0,ethereum,13,0.2653061224489796,0.575,0.0,46.0,0.3087248322147651
50轮,c3_ethereum_t50_s0,ethereum,14,0.2857142857142857,0.535,0.0,49.0,0.3288590604026846
50轮,c3_ethereum_t50_s0,ethereum,15,0.30612244897959184,0.54,0.0,52.0,0.348993288590604
50轮,c3_ethereum_t50_s0,ethereum,16,0.32653061224489793,0.54,0.0,52.0,0.348993288590604
50轮,c3_ethereum_t50_s0,ethereum,17,0.3469387755102041,0.53,0.0,58.0,0.38926174496644295
50轮,c3_ethereum_t50_s0,ethereum,18,0.3673469387755102,0.525,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,19,0.3877551020408163,0.52,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,20,0.40816326530612246,0.52,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,21,0.42857142857142855,0.52,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,22,0.4489795918367347,0.52,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,23,0.46938775510204084,0.52,0.0,60.0,0.40268456375838924
50轮,c3_ethereum_t50_s0,ethereum,24,0.4897959183673469,0.48,0.0,64.0,0.42953020134228187
50轮,c3_ethereum_t50_s0,ethereum,25,0.5102040816326531,0.185,0.0,69.0,0.46308724832214765
50轮,c3_ethereum_t50_s0,ethereum,26,0.5306122448979592,0.61,0.0,69.0,0.46308724832214765
50轮,c3_ethereum_t50_s0,ethereum,27,0.5510204081632653,0.61,0.0,70.0,0.4697986577181208
50轮,c3_ethereum_t50_s0,ethereum,28,0.5714285714285714,0.195,0.0,75.0,0.5033557046979866
50轮,c3_ethereum_t50_s0,ethereum,29,0.5918367346938775,0.19,0.0,81.0,0.5436241610738255
50轮,c3_ethereum_t50_s0,ethereum,30,0.6122448979591837,0.195,0.0,89.0,0.5973154362416108
50轮,c3_ethereum_t50_s0,ethereum,31,0.6326530612244898,0.195,0.0,91.0,0.610738255033557
50轮,c3_ethereum_t50_s0,ethereum,32,0.6530612244897959,0.195,0.0,94.0,0.6308724832214765
50轮,c3_ethereum_t50_s0,ethereum,33,0.673469387755102,0.19,0.0,96.0,0.6442953020134228
50轮,c3_ethereum_t50_s0,ethereum,34,0.6938775510204082,0.18,0.0,103.0,0.6912751677852349
50轮,c3_ethereum_t50_s0,ethereum,35,0.7142857142857143,0.185,0.0,108.0,0.7248322147651006
